Rand,Vb,phi,Sw,So,Bo,RF,RESERVE
0.2853803359354091,19192.899154185314,0.2371801507023472,0.2485197747024449,0.7514802252975551,1.2,0.38110228088105896,8428427.51467007
0.33885827739248164,20075.77688249588,0.24141103542685516,0.2539413059264109,0.7460586940735892,1.2,0.38614729647140505,9026595.944176205
0.48389197132838857,22264.40439867997,0.25146837911655917,0.2697875846561383,0.7302124153438617,1.2,0.39865373942102844,10536783.296622686
0.3844913553171304,20786.716080410515,0.24476342366464698,0.2587207478269306,0.7412792521730693,1.2,0.39020980617377443,9514390.159705848
0.32878734994014014,19914.29259239975,0.2406413006303461,0.2529089565227689,0.7470910434772311,1.2,0.38522452909942717,8916430.772014886
0.5290031815126929,22924.458732736675,0.2545319081671499,0.2751613700985396,0.7248386299014604,1.2,0.40242547847278104,11003647.079458961
0.0968849642839934,14919.54140826449,0.21749004767939023,0.22409720767757854,0.7759027923224214,1.2,0.3566830937615114,5805681.832172615
0.023379930587594244,10900.598395694045,0.2035042015159444,0.20674990050869352,0.7932500994913065,1.2,0.3337177051182517,3796484.5110295992
0.19003865138660492,17379.769086446537,0.2285006685762146,0.23775420208357856,0.7622457979164214,1.2,0.37074153763683737,7255482.384148954
0.9623426445740341,32874.834357492095,0.3014883297788587,0.35752838236356177,0.6424716176364382,1.2,0.4592847677570977,18907695.39731953
0.7609561458372598,26638.059282458824,0.2733598984469273,0.3081878498231667,0.6918121501768333,1.2,0.4236460530426219,13797400.30027526
0.5213904458715113,22812.92107663089,0.25400494759022274,0.2742370200988343,0.7257629799011657,1.2,0.4017881204378908,10924045.664191337
0.12234722973411316,15713.891377415199,0.2208918822982039,0.22831666421818786,0.7716833357818121,1.2,0.3612222364423726,6255263.819289923
0.9985866810937334,39918.26304110045,0.31641374818967966,0.38370929818100835,0.6162907018189916,1.2,0.49953293166343116,25138840.93238046
0.8882621518411883,29601.137498548575,0.28811247237170645,0.3340655763554613,0.6659344236445387,1.2,0.4405779285631347,16176821.3948978
0.9596448099279884,32688.37791640161,0.30083669575320304,0.3563853406678526,0.6436146593321475,1.2,0.4582193023794378,18749600.40984067
0.564785449158253,23451.495187019933,0.2570678745579025,0.2796097494179449,0.7203902505820551,1.2,0.40543711535439964,11383562.674738754
0.29823290410761627,19411.310255885837,0.23823086824886536,0.24982302942255094,0.750176970577449,1.2,0.38235034431934767,8575246.782931028
0.1851929174833391,17274.786593488934,0.22800664095089232,0.2371414362297127,0.7628585637702873,1.2,0.37014163767707964,7190195.265642852
0.7808527854686921,27021.279857837537,0.275343089535494,0.3116665971192581,0.688333402880742,1.2,0.4258358849019288,14099045.995685104
