Vb,param_d,Sw,So,G,H,Reserve
12987.44211837192,0.15557387670582234,0.15557387670582234,0.8444261232941777,1.2,0.17282126319534835,1906284.267169619
13014.955330823252,0.15584300116944105,0.15584300116944105,0.844156998830559,1.2,0.17289987237378074,1913887.528415811
13042.25914403712,0.156110834845923,0.156110834845923,0.843889165154077,1.2,0.1729778832686775,1921455.7613580022
13069.357310597916,0.15637739613180712,0.15637739613180712,0.8436226038681929,1.2,0.17305530660170834,1928989.5141620361
13096.253481243362,0.15664270299075558,0.15664270299075558,0.8433572970092444,1.2,0.17313215280355249,1936489.3212181148
13122.951208556131,0.15690677296768113,0.15690677296768113,0.8430932270323188,1.2,0.1732084320244461,1943955.7036156538
13149.453950490511,0.15716962320228683,0.15716962320228683,0.8428303767977132,1.2,0.17328415414425863,1951389.1695977817
13175.76507373904,0.15743127044204844,0.15743127044204844,0.8425687295579516,1.2,0.17335932878211155,1958790.2149958382
13201.88785695196,0.15769173105466638,0.15769173105466638,0.8423082689453336,1.2,0.17343396530557703,1966159.3236456832
13227.825493813589,0.15795102104001457,0.15795102104001457,0.8420489789599854,1.2,0.1735080728394674,1973496.9677860853
13253.581095985974,0.15820915604160968,0.15820915604160968,0.8417908439583903,1.2,0.17358166027424565,1980803.608440625
13279.157695923357,0.15846615135762498,0.15846615135762498,0.841533848642375,1.2,0.17365473627406675,1988079.695783322
13304.558249568698,0.15872202195147034,0.15872202195147034,0.8412779780485297,1.2,0.173727309284482,1995325.6694896535
13329.785638935004,0.15897678246195884,0.15897678246195884,0.8410232175380412,1.2,0.1737993875398143,2002541.9590730753
13354.842674576374,0.1592304472130801,0.1592304472130801,0.8407695527869199,1.2,0.17387097907021823,2009728.9842075957
13379.732097958204,0.15948303022339835,0.15948303022339835,0.8405169697766016,1.2,0.173942091708452,2016887.1550377999
13404.456583727808,0.15973454521509287,0.15973454521509287,0.8402654547849071,1.2,0.17401273309636517,2024016.8724762397
13429.018741893968,0.15998500562265727,0.15998500562265727,0.8400149943773427,1.2,0.17408291069112564,2031118.5284894493
13453.421119914488,0.1602344246012733,0.1602344246012733,0.8397655753987268,1.2,0.17415263177118426,2038192.5063721475
13477.666204703546,0.16048281503487358,0.16048281503487358,0.8395171849651264,1.2,0.17422190344201013,2045239.181011523
13501.756424555806,0.16073018954390791,0.16073018954390791,0.8392698104560921,1.2,0.17429073264158804,2052258.9191408046
13525.694150994519,0.16097656049282572,0.16097656049282572,0.8390234395071743,1.2,0.17435912614569865,2059252.0795831962
13549.481700549986,0.16122193999728762,0.16122193999728762,0.8387780600027124,1.2,0.174427090573,2066219.0134871576
13573.121336462516,0.1614663399311179,0.1614663399311179,0.8385336600688821,1.2,0.1744946323898929,2073160.0645517074
